!MOLECULE
E-CH3OH
!MOLECULAR WEIGHT
32.0
!NUMBER OF ENERGY LEVELS
100
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J, K
137   22   12      7.609e-07      749.050325	 70.9
138   22   11      1.976e-07      914.149625	 70.9
139   23   16      1.331e-05      193.488990	 85.9
140   23   30      1.049e-04      525.055884	 85.9
141   23   29      5.621e-10      601.223574	 85.9
142   23   21      1.713e-03      766.960042	 85.9
143   23   27      1.283e-07      791.552068	 85.9
144   23   20      1.550e-09      843.128217	 85.9
145   23   26      2.209e-09      948.731030	 85.9
146   23   14      5.575e-03      960.471276	 85.9
147   24   32      5.434e-06      283.094900	111.1
148   24   23      3.085e-04      524.947234	111.1
149   24   16      3.062e-03      718.436178	111.1
150   25   31      1.102e-04      764.281563	119.2
151   26   18      1.970e-06       84.521210	 40.4
152   26   17      5.805e-05      241.767224	 40.4
153   27   20      1.452e-11       51.576149	 47.9
154   27   19      8.976e-07       76.509670	 47.9
155   27   26      2.038e-05      157.178970	 47.9
156   27   18      6.036e-05      241.700219	 47.9
157   27   17      1.430e-04      398.946230	 47.9
158   28   37      3.625e-12       32.478611	 55.9
159   28   21      5.314e-09      140.777384	 55.9
160   28   27      2.308e-05      165.369440	 55.9
161   28   20      1.214e-05      216.945600	 55.9
162   28   19      5.960e-05      241.879073	 55.9
163   28   26      7.101e-09      322.548372	 55.9
164   28   18      1.894e-04      407.069553	 55.9
165   28   17      1.902e-08      564.315619	 55.9
166   29   28      8.271e-08       24.959079	 57.1
167   29   37      1.203e-10       57.437695	 57.1
168   29   21      3.854e-11      165.736468	 57.1
169   29   27      2.189e-09      190.328495	 57.1
170   29   20      5.027e-05      241.904645	 57.1
171   29   19      7.736e-05      266.838130	 57.1
172   29   26      1.776e-08      347.507457	 57.1
173   29   18      1.706e-08      432.028662	 57.1
174   29   17      8.662e-08      589.274703	 57.1
175   30   29      1.871e-11       76.167690	 60.7
176   30   28      9.630e-09      101.126800	 60.7
177   30   37      4.011e-06      133.605500	 60.7
